Character,Line
Rachel, Oh my God. (Laughs)
Ross, I’m sorry about your date.
Rachel, Oh it’s all right. I’m guess I’m just done with the whole
Ross," Yeah I know. (Pause) On the other hand in um, in about seven months"
Rachel, Thanks sweetie.
Ross," You wanna, you wanna grab some coffee?"
Rachel," Oh no, I think I’m gonna go home and eat ten candy bars."
Ross," Hey, I thought I cheered you up."
Rachel," Oh you did, there are twenty in here."
Ross, Right. Good night.
Rachel, Good night.
[Scene," Central Perk, Ross is entering and Mona from the wedding recognizes him.]"
Mona, Ross?
Ross, Yeah?
Mona, Hey it’s Mona! From the wedding.
Ross, Oh hi!
Mona, Hi!
Ross, Wow! Uh…how are you?
Mona," I’m good except umm, you still owe me a dance."
Ross," Oh that’s right. Well uh, would you be interested in seeing a"
Mona, (laughs then stops) Oh you’re serious. Sure!
Ross, Great! Well umm…
Mona, I think I might need one more cup of coffee.
Ross," Sure! Uh, let me get it for ya."
Mona, Okay.
[Scene," Chandler’s Office, Bob is ransacking Chandler’s office.]"
Chandler, (entering) Bob. Bob! Bob!!! (He turns around) What the hell are you
Bob," I just found out this is Chandler’s office! Come on Toby, give me a"
Written by, Mark Kunerth
Transcribed by, Eric Aasen
[Scene," Central Perk, everyone is there as Chandler and Monica enter. Oh, and Joey is"
Monica, Hey you guys?
Ross, What?
Monica," I know it’s last minute, but we decided to have a Halloween party."
Phoebe, Oh good! (And there’s general excitement.)
Monica, And everybody has to wear costumes. (And there’s general
Ross," Well, I’ll-I’ll be there. I mean I have to wear a costume to all"
Rachel, Please tell me you’re not gonna dress up like a dinosaur.
Ross, (exhales sarcastically) Not two years in a row.
Joey," Look, I’ll come to the party but I’m not dressing up."
Monica, You have to!
Joey," No way! Look, Halloween is so stupid! Dressing up, pretending to be"
Chandler, You’re an actor!
Monica," So Ross, are you gonna bring Mona?"
Ross," Yeah. Yeah, I think I will."
Joey, That hot girl from their wedding?
Ross, Yeah.
Joey," Well hey-hey if she needs any idea for costumes, she could be a bikini"
Phoebe, Now wasn’t Joey hitting on her at the wedding too?
Ross," That’s right! He was hitting on her, and I got her. I guess"
[Scene," A Street, Phoebe is walking down it and passes Ursula.]"
Phoebe," Ursula! (Ursula turns, smiles, and continues walking.) Wait! Err-err,"
Ursula," Oh, I thought there was a mirror there. Okay, bye-bye. (Starts to walk"
Phoebe," Wait a second! So, what’s new with you?"
Ursula," Umm, nothing. I mean, I’m getting married next week."
Phoebe, What?!
Ursula," Yeah! Yeah, it’s gonna be a small ceremony. Just family. (Phoebe"
Phoebe," Huh. Okay. Well, I’m really happy for you. (Starts to walk away.)"
Ursula," Wait! If umm, if you want to come, I guess that’d be okay."
Phoebe, Really?
Ursula, Sure! Why not? You could be my sister for the day.
Phoebe," Yeah. Okay. Umm, y’know, my friends are having a Halloween party"
Ursula," Huh. Well, I’m supposed to be working at the restaurant tonight."
Phoebe," By the way, it’s a costume party."
Ursula," Oh! Okay, so that’s why you’re… (Motions to what"
Phoebe, (looks down) No. But thanks. (Walks away.)
[Scene," Monica and Chandler's, The Halloween party has started. Monica is setting out"
Rachel, Hi!
Monica, Wait! You’re supposed to wear a costume!
Rachel, I am! I am a woman who spent a lot of money on a dress and she wants to
Monica, Oh. 
Rachel, Ahh!
Monica," I’m Catwoman, who wants to borrow the dress when you’re too"
Rachel, Okay.
Kids, Trick or treat!
Rachel, Oh! Oh! Can I give out the candy? I really want to be with the kids
Kids, Trick or treat!!
Rachel, (to them) Just a minute!!! (She takes the candy and opens the door to
Witch, Thank you.
Rachel, And you are a very funny clown. (Gives him candy.)
Clown, Thank you.
Rachel," (to the cowgirl) And you are so in style right now. Y’know, I work"
Cowgirl, (interrupting) Can I just have the candy?
Rachel," Yeah. Sure. (Throws some in her bag and she walks away as Phoebe,"
Phoebe," Ah, Catwoman. So we meet again."
Monica, So we do Supergirl.
Phoebe," No, it’s me. Phoebe!"
Chandler," (entering from the bedroom wearing a big, pink bunny costume) Monica!"
Rachel," (To Monica) Oh, you did this to him?"
Monica, What?! I thought he’d love it! His favorite kid's book was the Velveteen
Chandler, The Velveteen Rabbit was brown and white!
Monica," Well, it was either a pink bunny or no bunny at all."
Chandler, No bunny at all!! Always no bunny at all!!!
Joey, (entering) Hey!
Monica, You didn’t dress up either?!
Joey," Yes I did! I’m Chandler. (Looks at Chandler) Dude, what happened?"
Chandler, How is that me?
Joey, Okay. I’m Chandler (makes a growling/gurgling sound at the end and
Phoebe, (To Chandler) That is so you!
Chandler, When have I ever done that?!
Joey, When have I ever done that?! (And does the sound again.)
Girl, Trick or treat!
Rachel, Oh! (Opens the door to reveal a ballerina) Well you’re just the
Ballerina, Thank you. (Pirouettes.)
Rachel, Oh wow! That deserves another piece of candy.
Ballerina, Thank you. (Does another ballerina move.)
Rachel," Well, I have to say that earns tutu pieces of candy."
Ballerina, I love you! (Hugs Rachel.)
Rachel," Ohh… Oh, honey here. Take it all. (Pours the entire large bowl into"
Monica, What?! There’s only been like four kids.
Rachel," Yeah I know, but one of them just said that she loved me so I just gave"
Phoebe, No wonder your pregnant.
Ross, (entering) Hey! (He’s wearing a costume as well.)
Rachel, Hey.
Monica, What are you supposed to be?
Ross," Remember the Russian satellite, Sputnik? (They all look at him.) Well,"
Chandler, Wow! I don’t have the worst costume anymore!
Joey," (sees Ross) Hey all right, Ross came as doody."
Ross," No, I-I’m not doody."
Monica," No, space doody!"
Eric, Aren’t you gonna give me a kiss?
Phoebe," Okay, I will. But right after you tell me who the hell you are."
Eric, Ursula?
Phoebe, Ursula’s fiancée?
Eric," Oh my God, you’re the sister!"
Phoebe, Yeah.
Eric," Okay, I just slapped my future sister-in-law’s ass."
Phoebe, Yeah.
Eric," I’m an idiot. Uh, is your mother here? Maybe I can give her a little"
Phoebe, My mother killed herself.
Eric," She, now I knew that and…now I’m sweating. Look at me, I’m"
Phoebe," No-no! That’s okay, we’ll just start over. Okay? Hi! I’m"
Eric," Eric. (They shake hands and he’s squinting. And, no, it’s not"
Phoebe, Why are you looking at me like that?
Eric, ‘Cause the sweat’s getting in my eyes and its burning.
Phoebe," Okay. (Hands him a napkin.) So, what are you?"
Eric, I don’t think they have a name for it. It’s just I get nervous;
Phoebe, (laughs) No I-I meant your costume.
Eric," Oh umm, I’m the solar system. (He’s wearing a black sweater with"
Phoebe, I love the second grade!
Eric, Really?
Phoebe, Yeah! It’s so much better than first grade when you don’t know
Eric, So what do you do?
Phoebe," Umm, I’m a masseuse…by day. (Stands with her hands on her hips"
Eric," Y’know you don’t have to stand here with me, believe me…"
Phoebe, No I’m having fun. I’m really—And I’m really-really
Eric," Oh I feel very lucky, she’s great. I think she’s the most"
Phoebe, Thank you.
Monica, Hey Joey?
Joey, Yeah.
Monica, You read comic books right?
Joey, Exclusively.
Monica," Who do you think would win in a fight, Catwoman or Supergirl?"
Joey," Catwoman, hands down."
Monica, Yeah…
Joey," But between you and Phoebe, I’d have to give the edge to Phoebe."
Monica, What?! Really?!
Joey," Are you kiddin’? Phoebe lived on the street. Okay? Plus, she’s"
Monica," No you’re fine. (Joey checks anyway.) All right well, do you think"
Joey, I’m not sure.
Monica, What?! Come on I am tough! Punch me right here! (Her stomach) As hard as
Joey, Will you relax?! What are you taking this so seriously for? It
Monica," Oh really? Okay? Well what would you say if I told you that,"
Joey," I would say, ""Woman, please!"""
Phoebe, (walking over) Hey. Ursula’s fiancée is really sweet!
Monica," Oh my God, Phoebe!"
Phoebe, What?
Monica, You’re getting a crush on your sister’s fiancée.
Phoebe, No I’m not! You are!
Joey, (To Monica) Here comes the temper.
Girl, Trick or treat!
Rachel," Hi! Y’know what honey, we’re actually out of candy right now."
Girl, Okay!
Rachel," Okay, what’s your name?"
Girl, Lelani Mayolanofavich.
Rachel," Okay, I’m just gonna write this out to cash."
Mona, (entering) Hi!
Rachel, Hey Mona!
Chandler, Oh! Hi!
Mona, Hi!
Chandler, Joey’s gonna be thrilled! He was hoping you’d come by as a
Mona," Umm, actually I’m just a nurse."
Chandler," You’d think that would embarrass me, but you see I’m maxed"
Ross, Hey!
Mona, Hi!
Ross, You made it!
Mona," Wait-wait! You’re umm, you’re a potato…"
Ross," Well, I’m a spud…"
Mona, And the antennae…Oh my God you’re Spudnik!
Ross, Yes!
Chandler, (To Ross) Marry her.
Joey," Okay, here’s a good one for ya. Who do think would win in a fight"
Monica, I can’t answer that! Chandler’s my husband.
Joey, So Ross?
Monica, Yeah.
Eric, Hey beautiful.
Phoebe, Hello handsome. (Sees Ursula over her shoulder) Oh God. (Walks away in
Eric, Two weeks ago.
Phoebe, Two weeks? That’s it?
Eric," Yeah, I know it sounds crazy, and it’s not like me to do something so"
Phoebe, Oh really?
Eric, We’re both teachers.
Phoebe, Huh? (Ursula motions for Phoebe to keep quiet.)
Eric, And we were both in the Peace Corps.
Phoebe," Peace Corps, really? (Ursula motions, ""I don’t know."")"
Eric," In fact when we were building houses in Uruguay, we were, we were just two"
Ursula," Yeah. It wasn’t a town when I got there, but it was a town when I"
Eric, Sure.
Chandler, Howdy doody.
Ross, That’s funny. Yeah. Y’know you’re the funniest man here in
Chandler," Oh relax man, relax. You’re looking a little flushed."
Joey," (To Monica) Hey-hey-hey, I think we might find out the answer to our"
Chandler, What question?
Joey," Monica and I were talking about who could kick whose ass in a fight, you"
Chandler, There’s no question.
Joey, So you think Ross too?
Chandler, (To Monica) You picked Ross?!
Monica," Ross is really strong! Okay, he’s the strongest out of all three of"
Chandler, I cannot believe you didn’t pick me.
Ross," Uh, in her defense, she’s right. I am stronger. I would destroy you."
Chandler, Oh really?! You think you’re stronger? Why don’t you prove
Ross, Oh I’ll prove it! I’ll prove it like a theorem!! 
Monica," Wait-wait!! Okay, stop it! Stop it! Stop! (Breaks it up.) Now listen, no"
Joey, Hey Monica! (Grabs her and pulls her into the living room.) People came to
Mona," Hey, you guys could arm wrestle."
Joey, Yeah. Listen to the slutty nurse.
Chandler, (To Ross) You’re going down.
Ross, Oh yeah? You’re going further down! Downtown!
Joey," Seriously guys, the trash talk is embarrassing."
[Scene," Monica and Chandler's, the party continues with Rachel leaning on the counter"
Rachel, Oh Gunther! You brought candy! Thank you so much for picking this up!
Gunther, Really?
Rachel," Honey, someday you are gonna make some man the luckiest guy in the"
Kid, Trick or treat!
Rachel, Gotta go! (Opens the door to a boy in a cape.) Hi! Wow! There you go!
Boy in the Cape, My friend Lewis told me you were giving out money.
Rachel," Oh yeah, we were but umm, now we’ve got candy."
Boy in the Cape, I’d rather have the money.
Rachel," Well, that-that’s not your choice. Happy Halloween!"
Boy in the Cape, This isn’t fair.
Rachel, Well is it fair that all you did was put on a cape and I gotta give you
Boy in the Cape, Shut up!
Rachel, You shut up!
Boy in the Cape, You can’t tell me to shut up!
Rachel," Uh, I think I just did. And uh-oh, here it comes again. Shut up!"
Joey, Rach?
Rachel, (To Joey) Yeah I know—I’m good—I got it! (Joey slowly
Boy in the Cape, You’re a mean old woman. (Runs away.)
Rachel, No! Wait no! Shut up—I mean don’t cry! Let me get my
Monica," (To Chandler) Look honey, you don’t have to do this, okay?"
Chandler, That means nothing to me. (To Ross) Come on!
[Scene," The Hallway, Phoebe is exiting Monica and Chandler’s, and finds Ursula"
Phoebe, Hi liar!
Ursula, Hey!
Phoebe, Y’know the only reason he’s marrying you is because he thinks
Ursula, Well they could be true.
Phoebe, But they’re not!
Ursula," Yeah, it’s a fine line huh?"
Phoebe, Why are you lying to him?
Ursula, I don’t know. He said he did all this stuff and then I said I did
Eric, (entering) Honey?
Ursula," (waving the cigarette in Phoebe’s face) It’s a filthy,"
Eric, She’s helped so many people to quit smoking.
Ursula," Y’know, we’d really better get going."
Eric," Oh right, you’ve got a church group meeting tonight."
Ursula, Right. (Walks down the stairs.)
Eric," (To Phoebe) Well, it was nice meeting you."
Phoebe, You too. And Ursula?! It was really nice meeting you tonight!!
Joey, (entering) Pheebs come on! Bunny vs. Doody! We’re waiting! (They go
Ross, Pride.
Chandler, And dignity.
Joey," (laughing) Okay, if you say so. All right, ready? Set! Go!"
[Time Lapse," the crowd has left and only Mona, Monica, Joey, and Phoebe are still"
Mona, (To Joey) Wow! They’re both really strong.
Joey, Or equally weak.
Monica, (To Phoebe) Oh God!
Phoebe, Hmm?
Monica, Chandler’s making his sex face.
